ID,Meanings,PartOfSpeech,Addition,EndOfClause,Example
201__An.104.1,Additive,Noun,,Yes,karʲan ʦelinaja da gajzaj
201__An.110.1,Connector,Verb,PST,No,karʲən mana sundɨrʲdan korʨëɕ ta vërenmezërek ëɕlenë birgi
201__An.115.1,Indef,Pronoun,Neg,No,"выход дней dan, a nim de ɕok"
201__An.125.1,Indef,Pronoun,Neg,No,"saldaga gajmanʲəzam vəzam nimde mar, xəramala marʨə vəzanʥan"
201__An.129.1,Additive,Noun,,No,on ʨonʲa janfarʲ fevralʲda mënle tëttëm
201__An.13.1,ScalarAdditive,Noun,,No,lapkine ʂuʂki de kimenʂi
201__An.142.1,Connector,Verb,PST,Yes,"tre, prex tiskerën kəʂkərzerʨë de"
201__An.146.1,ScalarAdditive,Pronoun,мест xam,No,"xam da sismerëm det, mënle kəʂkərzernine det"
201__An.148.1,Connector,Verb,PST,No,"ara, përe kəʂkərzerʨë de, leʂ aʨa tyrt kalʲa tapsa sekrë"
201__An.155.1,Connector,Verb,NPST,No,"no, kalaza per përe, pet мучить taʨə da për arʑɨn aʨa"
201__An.156.1,Connector,Verb,PST,No,"magərzerdëmër maruɕ ikën de, kërze garʲəmər da direkʦine"
201__An.156.1,Collective,Num,,No,"magərzerdëmër maruɕ ikën de, kërze garʲəmər da direkʦine"
201__An.168.1,Connector,Pronoun,,No,onda da gajzerzepër ikën
201__An.174.1,Connector,Verb,NPST,No,pëlet te xa jonanine
201__An.176.1,Connector,Verb,PST,Yes,"teple штабель ɕinʥen andəm, ëɕ pëtrë de leʂ vodə грузить tuza pëderdëmër de"
201__An.176.1,Connector,Verb,PST,No,"teple штабель ɕinʥen andəm, ëɕ pëtrë de leʂ vodə грузить tuza pëderdëmër de"
201__An.177.1,Connector,Verb,PST,No,"teple штабель ɕinʥen andəm, ɕa morgoʂ ɕɨnnʲa pɨrdəm da ɨdalaza lartrəm kapla xolʲənʲʥan"
201__An.184.1,Additive,Adverb,,No,xalʲda xarzər bolʲə
201__An.186.1,Connector,Noun,,No,"urok tunə ʥonʲa da, ɕanba da pet tarəkrëɕ polʲ man ɕine, vəl ʨetajzam"
201__An.186.1,Connector,Dem,,No,"urok tunə ʥonʲa da, ɕanba da pet tarəkrëɕ polʲ man ɕine, vəl ʨetajzam"
201__An.193.1,Coordination,Verb,PST,No,"oj, tarəksa ɕitrëm, pulavkə ilʲdëm de"
201__An.194.1,Coordination,Verb,PST,Yes,"ɕapla jəbəʂtən, terdëm de ajakine"
201__An.195.1,Connector,Verb,PST,Yes,jo-o tapsa sekrë de
201__An.197.1,Additive,Pronoun,Personal,No,uʨitelʲ ɕapla laragan ona xerëɕ vəl da xərazykrë
201__An.198.1,Additive,Noun,,No,aʨazam da un-kun pəkalaʨə – mën bolʲʨë deʨë
201__An.199.1,Indef,Pronoun,Neg,No,"ep nimde ʂarlamap, no man kolmala marʨə"
201__An.2.1,Connector,Verb,NPST,No,irgi smenəran doxap ta kile
201__An.203.1,Coordination,Verb,PST,No,"звонок teple bolʨə, учитель kalaza da poɕpimerë, чёрту, звонок polʨë tokrəm da tardəm aʨazam təriʨenek"
201__An.203.1,Connector,Verb,CV_SIM ,No,"звонок teple bolʨə, учитель kalaza da poɕpimerë, чёрту, звонок polʨë tokrəm da tardəm aʨazam təriʨenek"
201__An.204.1,Additive,Pronoun,мест xam,No,"xam da kodən bolza, ɕan ʨoknʲa bulavkəba terni"
201__An.207.1,Connector,Verb,NPST,No,"xolen ʨɨʐap ta, pulavki mën ʨulë gëret"
201__An.212.1,Connector,Verb,NPST,No,"vërenze togatər da kaʨa kajzeretër det, serden mën osi det"
201__An.213.1,Connector,Verb,PST,No,"ep kalarəm, tərdəm tərdəm da, traktorize kaʨa kajapər derëm"
201__An.226.1,Connector,Verb,PST,No,"vɨrtrəm da, koɕnʲa xopsa lartrəm da, tortrəm kuroknʲa"
201__An.226.1,Connector,Verb,PST,Yes,"vɨrtrəm da, koɕnʲa xopsa lartrəm da, tortrəm kuroknʲa"
201__An.230.1,Connector,Verb,PST,Yes,nim dëlemezër berdëm de
201__An.231.1,Connector,Adverb,,No,karʲən da otni berdereʨë
201__An.236.1,Coordination,Verb,PST,No,"karʲən pəgap, ej, dep ep vəlʲnʲa pəkmarəm da dep, koʑa xoprəm da tortrəm"
201__An.236.1,Connector,Verb,PST,No,"karʲən pəgap, ej, dep ep vəlʲnʲa pəkmarəm da dep, koʑa xoprəm da tortrəm"
201__An.238.1,Connector,Verb,NPST,Yes,"a nebolʲak vërentse on ʨox, xruɕov vəxəʥənʥa amerikəpa talaʐu bɨrat ta"
201__An.240.1,Connector,Verb,IMP,No,"ser deʨë, xërzem deʨë, propkine kapla kəlarzilërde teʨë, ʨobər, karʲən sɨvləʂ lajək teʨë"
201__An.25.1,Connector,Verb,PST,No,"kəlbasine tada, përe garʲəm da sɨsna osraman vəl ɕol"
201__An.25.1,Coordination,Noun,,No,porfilʲ porfilʲ de  porfirʲ de orine
201__An.25.1,Coordination,Noun,,No,porfilʲ porfilʲ de  porfirʲ de orine
201__An.26.1,Coordination,Noun,,No,porfilʲ porfilʲ de  porfirʲ de orine
201__An.26.1,Coordination,Noun,,No,porfilʲ porfilʲ de  porfirʲ de orine
201__An.30.1,Connector,Verb,CV_SIM ,No,tɨrə numaj polza da perën
201__An.35.1,ScalarAdditive,Adj,,No,xalʲ ɨtla da lajək porənapər ʂotlazan
201__An.36.1,Connector,Verb,CV_SIM ,Yes,porfilʲ biʨi vilzesën ʨënme bɨrza da
201__An.37.1,Connector,Verb,PST,No,tərza larʨə da pëʥëksker
201__An.39.1,Connector,Verb,NPST,Yes,leʂ ɕɨrma xërine tokkalaza larat ta
201__An.4.1,Connector,Verb,NPST,No,əʐədap ta irbele veɕ ɕaksa xarap kaʂtazem ɕine meʐeksene xuza
201__An.44.1,Connector,Verb,CV_SIM ,No,"por dep, ʨəmlaza da ølimep, anza gajat xəʂ ʨonʲa dep, vɨɕa larzan dep"
201__An.45.1,Coordination,Num,,No,jep пясят пять de pilëk ɕol maldan mandan
201__An.47.1,Indef,Pronoun,Neg,No,nimbe de numaj ʨəmlimep
201__An.50.1,Connector,Verb,CV_SIM ,Yes,"ʨəmlat, ʨəmlat, ʨəmlat, oj-oj sanba dan ʨəmlaza ɕiderme polmas terëm përe larzap ta"
201__An.54.1,Connector,Num,,No,"ʨəmlat , xërëx te jertse kajat polʲ on"
201__An.57.1,Additive,Noun,,No,"kaʨa gajzanak korza xalʲə, ɕime larzapər da ikën"
201__An.57.1,Connector,Verb,CV_SIM ,No,vəlzanʲa da ize togsa gajzaɕ kulak teze
201__An.59.1,Connector,Verb,NPST,No,"ləki-loki ɕɨrdap ta man уж xɨrəm dəranza, vəl tada ʨəmlaza larat"
201__An.63.1,Connector,Verb,CV_SIM ,Yes,uʨiliɕa vërenme kajza da
201__An.69.1,Connector,Verb,PST,No,vurza tokrəmər da det
201__An.70.1,Connector,Verb,CV_SIM ,No,"kajza da, xër aʨazam ikën kërze lardəmər, leʂ jungə xër aʨibele"
201__An.74.1,Coordination,Verb,PST,No,"këdër-kydër tərdəmər da toksa karəmər, valdi grupəzam"
201__An.74.1,Connector,ATTR,ATTR,No,aʨibəʨi veɕ ɕire mën bor kodomkaja mën ʨigze ɕimeli de ʥigtermerëɕ tet
201__An.75.1,Coordination,Verb,PST,No,poɕtarʨëɕ ta toksa garëɕ det
201__An.77.1,Indef,Pronoun,неопр мест,No,xozjajstvəra mën ɕok edemën tem de bor
201__An.78.1,Additive,Noun,,No,ɕiboɕə da bor temënë de bor
201__An.78.1,Indef,Pronoun,неопр мест,No,ɕiboɕə da bor temënë de bor
201__An.85.1,ScalarAdditive,Dem,,No,ɕana da astat vəl
201__An.88.1,Connector,ATTR,,No,ɕə kəʂkəra kəʂkəra jaraʨə det kajala da pəktarmaɕë det
201__An.90.1,Connector,ATTR,,No,xɨrəmbala da ʂuza mën ʨuxlë jorəʂən oldə ojək xoʂinʥe
201__An.96.1,Additive,Dem,,No,"konda da ɕan iʂi deʨëɕ,  порядок teʨëɕ"
201__Zi.10.1,Indef,Pronoun,Neg,No,xotʲ jurə polza mënʐën tezen nixənʥa da nista da kajza gorman
201__Zi.10.1,Coordination,Noun,,No,xotʲ jurə polza mënʐën tezen nixənʥa da nista da kajza gorman
201__Zi.12.1,Indef,Pronoun,Neg,No,no orʲək nista da gajza gorman
201__Zi.13.1,Indef,Pronoun,Neg,No,ɕamba da inʑetre okɕi деньги ɕok nigam da pere подержать tuman poləʂman
201__Zi.13.1,Connector,Dem,,No,ɕamba da inʑetre okɕi деньги ɕok nigam da pere подержать tuman poləʂman
201__Zi.17.1,Coordination,Noun,,No,papəda mamə poləʐimeɕë
