ID,Meaning,PartOfSpeech,StressOnClitic,StressOnWord,EndOfClause
201__An.104.1,Additive,Noun,Yes,Yes,Yes
201__An.115.1,Indef,Pronoun,Yes,Yes,No
201__An.125.1,Indef,Pronoun,No,Yes,No
201__An.129.1,Additive,Noun,No,Yes,No
201__An.13.1,ScalAdditive,Noun,No,Yes,No
201__An.146.1,ScalAdditive,Pronoun,Yes,Yes,No
201__An.156.1,Collective,Num,Yes,Yes,No
201__An.184.1,Additive,Adverb,No,Yes,No
201__An.193.1,Coordination,Verb,Yes,Yes,No
201__An.194.1,Coordination,Verb,Yes,Yes,Yes
201__An.197.1,Additive,Pronoun,No,Yes,No
201__An.198.1,Additive,Noun,Yes,Yes,No
201__An.199.1,Indef,Pronoun,No,Yes,No
201__An.204.1,Additive,Pronoun,Yes,No,No
201__An.236.1,Coordination,Verb,Yes,Yes,No
201__An.35.1,ScalAdditive,Adj,No,Yes,No
201__An.47.1,Neg,Pronoun,Yes,Yes,No
201__An.74.1,Coordination,Verb,Yes,No,No
201__An.96.1,Additive,Dem,Yes,No,No
201__Zi.10.1,Indef,Pronoun,Yes,Yes,No
201__Zi.10.1,Coordination,Noun,Yes,Yes,No
201__Zi.12.1,Indef,Pronoun,Yes,No,No
201__Zi.13.1,Indef,Pronoun,Yes,No,No
201__Zi.21.1,ScalAdditive,Noun,Yes,Yes,No
